dd/mm/y,who,where,what,what-x (Hebrew),what-y (Hebrew)
29/01/2023,S(A)K,"ירמיהו נא,ז","Fixed vowel within documentation note for the letter ה in ""יִתְהֹלֲל֥וּ"". Note: The appearance of biblical text is unchanged; this only affects the note.",,
29/01/2023,S(A)K,"ירמיהו נ,י","Fixed diacriticals within documentation note for the letter כ in ""א=כָּל־שֹׁלֲלֶ֥יהָ"". Note: The appearance of biblical text is unchanged; this only affects the note.",,
29/01/2023,S(A)K,"ירמיהו כד,ט",Added two documentation notes.,,
27/01/2023,BD,ישעיהו,added 51 varika marks from Wikisource (via AutoEdits),,
25/01/2023,BD,"ישעיהו סו,טז",added a varika mark from Wikisource (via AutoEdits),,
26/01/2023,BD,"ישעיהו א,כג",added a varika mark from Wikisource (via AutoEdits),,
22/01/2023,S(A)K,"דה""ב כ,ל-לא D","Seder number 19/יט (shown in column D) moved back from verse 31 to verse 30, as indicated in AC and Sefer ha-Hillufim (and as appears in Ginsburg). In LC and Koren it appears in verse 31. A documentation note has been added in verse 30. Credit to Bezalel Ariel.",,
13/01/2023,BD,"תהלים מד,יט",A geresh muqdam was added on 02/08/2022 but not in our standard-but-abnormal ordering. The fix was to change alef-gm-ḥp to alef-ḥp-gm. The result is shown in the next column.,אֲ֝שֻׁרֵ֗ינוּ,
13/01/2023,BD,"יחזקאל לב,ל",A rafeh was added on 22/08/2022 but not in our standard-but-abnormal ordering. The fix was to change gimel-sheva-rafeh to gimel-rafeh-sheva. The result is shown in the next column.,מִגְֿבֽוּרָתָם֙,
10/01/2023,S(A)K,"ישעיהו כה,י","Accent on the letter ד in ""וְנָד֤וֹשׁ"" (as found in AC and LC). Credit to Asael Reiter.",,
05/01/2023,S(A)K,"מל""ב ט,כ","Added dagesh to the letter י in ""וַיַּגֵּ֤ד"" (as found in AC and LC). Credit to anonymous reader at alhatorah.org.",,
05/01/2023,S(A)K,"מל""א ח,לו","Added meteg to ""עַֽל־אַרְצְךָ֔"" (as found in AC and LC [faint but definite]). Credit to anonymous contributor at Hebrew Wikisource.",,
03/01/2023,S(A)K,"אסתר ב,יא C",Slight tweak to documentation note in Column C about whether there is a closed parashah ({{סס}}) before this verse.,,
28/12/2022,S(A)K,"במדבר כו,כג","Added documentation note regarding lack of dagesh in ""וּפֻוָ֖ה"".",,
28/12/2022,S(A)K,"בראשית מו,יג","Updated documentation note regarding lack of dagesh in ""וּפֻוָ֖ה"".",,
15/12/2022,S(A)K,"בראשית לח,יז","Qamaz qatan in ""שׇׁלְחֶֽךָ"". Credit to anonymous reader at mg.alhatorah.org.",,
14/12/2022,S(A)K,"דניאל ב,לא","Removed dagesh from the letter ד in ""דִכֵּ֥ן""; LC has rapheh (although it has a slight blemish in the parchment which may be a scratch from erasure). Credit to Moshe Greenberg.",,
14/12/2022,S(A)K,"דניאל ב,כ","Removed maqaph between ""וְעַ֣ד עָלְמָ֑א""; there is no maqaph in LC. Credit to Moshe Greenberg.",,
13/12/2022,S(A)K,"עזרא ט,ד","Replaced accent mahpah with the accent yativ in ""כֹּ֚ל"", as it appears in LC and ב1. Credit to Moshe Greenberg.",,
13/12/2022,S(A)K,"דניאל ט,יב","Added parameter רווח=לא to קו""כ template, and a space after the template, in order to fix the spacing between the words as shown in Wikisource.",,
